Ensembl Gene ID	Gene Biotype
ENSG00000169247	protein_coding
ENSG00000169313	protein_coding
ENSG00000169427	protein_coding
ENSG00000169676	protein_coding
ENSG00000169900	protein_coding
ENSG00000169918	protein_coding
ENSG00000169933	protein_coding
ENSG00000170396	protein_coding
ENSG00000170419	protein_coding
ENSG00000171189	protein_coding
ENSG00000171435	protein_coding
ENSG00000171532	protein_coding
ENSG00000171587	protein_coding
ENSG00000172031	protein_coding
ENSG00000172209	protein_coding
ENSG00000172264	protein_coding
ENSG00000172460	unitary_pseudogene
ENSG00000172568	protein_coding
ENSG00000172673	protein_coding
ENSG00000173208	protein_coding
ENSG00000173452	protein_coding
ENSG00000173714	protein_coding
ENSG00000174498	protein_coding
ENSG00000174521	protein_coding
ENSG00000174963	protein_coding
ENSG00000175267	protein_coding
ENSG00000175426	protein_coding
ENSG00000175664	protein_coding
ENSG00000175766	protein_coding
ENSG00000175874	protein_coding
ENSG00000176165	protein_coding
ENSG00000176204	protein_coding
ENSG00000176381	protein_coding
ENSG00000177108	protein_coding
ENSG00000177234	lincRNA
ENSG00000177301	protein_coding
ENSG00000177453	protein_coding
ENSG00000177699	antisense
ENSG00000178015	protein_coding
ENSG00000178171	protein_coding
ENSG00000178235	protein_coding
ENSG00000178602	protein_coding
ENSG00000178662	protein_coding
ENSG00000178965	protein_coding
ENSG00000179242	protein_coding
ENSG00000179673	protein_coding
ENSG00000179774	protein_coding
ENSG00000179841	protein_coding
ENSG00000179915	protein_coding
ENSG00000179988	protein_coding
ENSG00000180332	protein_coding
ENSG00000180440	protein_coding
ENSG00000180720	protein_coding
ENSG00000180914	protein_coding
ENSG00000181322	protein_coding
ENSG00000181656	protein_coding
ENSG00000182132	protein_coding
ENSG00000182255	protein_coding
ENSG00000182366	lincRNA
ENSG00000182450	protein_coding
ENSG00000182566	protein_coding
ENSG00000182674	protein_coding
ENSG00000182698	protein_coding
ENSG00000183092	protein_coding
ENSG00000183250	lincRNA
ENSG00000183317	protein_coding
ENSG00000183654	protein_coding
ENSG00000183662	protein_coding
ENSG00000183715	protein_coding
ENSG00000183775	protein_coding
ENSG00000183780	protein_coding
ENSG00000183831	protein_coding
ENSG00000183908	protein_coding
ENSG00000184156	protein_coding
ENSG00000184388	protein_coding
ENSG00000184408	protein_coding
ENSG00000184486	protein_coding
ENSG00000184845	protein_coding
ENSG00000185610	protein_coding
ENSG00000185668	protein_coding
ENSG00000185737	protein_coding
ENSG00000185742	protein_coding
ENSG00000185760	protein_coding
ENSG00000186047	protein_coding
ENSG00000186288	protein_coding
ENSG00000186297	protein_coding
ENSG00000186675	protein_coding
ENSG00000186732	protein_coding
ENSG00000186842	lincRNA
ENSG00000186960	lincRNA
ENSG00000187135	protein_coding
ENSG00000187416	protein_coding
ENSG00000187664	protein_coding
ENSG00000187672	protein_coding
ENSG00000188011	protein_coding
ENSG00000188368	protein_coding
ENSG00000188580	protein_coding
ENSG00000188674	protein_coding
ENSG00000189195	protein_coding
ENSG00000189275	lincRNA
ENSG00000196090	protein_coding
ENSG00000196277	protein_coding
ENSG00000196361	protein_coding
ENSG00000197177	protein_coding
ENSG00000197430	protein_coding
ENSG00000197901	protein_coding
ENSG00000198010	protein_coding
ENSG00000198216	protein_coding
ENSG00000198673	protein_coding
ENSG00000198822	protein_coding
ENSG00000198883	protein_coding
ENSG00000198963	protein_coding
ENSG00000202025	snRNA
ENSG00000203876	lincRNA
ENSG00000203877	protein_coding
ENSG00000204092	lincRNA
ENSG00000204241	lincRNA
ENSG00000204352	protein_coding
ENSG00000204624	protein_coding
ENSG00000204655	protein_coding
ENSG00000204869	protein_coding
ENSG00000205035	transcribed_unprocessed_pseudogene
ENSG00000205037	lincRNA
ENSG00000205279	protein_coding
ENSG00000205562	lincRNA
ENSG00000205927	protein_coding
ENSG00000206140	lincRNA
ENSG00000207217	snoRNA
ENSG00000207480	misc_RNA
ENSG00000207636	miRNA
ENSG00000210112	Mt_tRNA
ENSG00000210154	Mt_tRNA
ENSG00000210156	Mt_tRNA
ENSG00000210176	Mt_tRNA
ENSG00000210191	Mt_tRNA
ENSG00000211574	miRNA
ENSG00000213411	processed_pseudogene
ENSG00000213640	processed_pseudogene
ENSG00000213888	lincRNA
ENSG00000213938	processed_pseudogene
ENSG00000214353	antisense
ENSG00000214376	protein_coding
ENSG00000214391	processed_pseudogene
ENSG00000214659	processed_pseudogene
ENSG00000214694	protein_coding
ENSG00000214725	antisense
ENSG00000216863	antisense
ENSG00000216901	unprocessed_pseudogene
ENSG00000217801	transcribed_unprocessed_pseudogene
ENSG00000218416	processed_transcript
ENSG00000220575	antisense
ENSG00000221533	miRNA
ENSG00000221625	miRNA
ENSG00000221870	protein_coding
ENSG00000221986	protein_coding
ENSG00000222044	antisense
ENSG00000223548	antisense
ENSG00000223812	lincRNA
ENSG00000224076	antisense
ENSG00000224165	antisense
ENSG00000224167	lincRNA
ENSG00000224183	processed_pseudogene
ENSG00000224222	lincRNA
ENSG00000224243	lincRNA
ENSG00000224272	antisense
ENSG00000224550	processed_pseudogene
ENSG00000224592	lincRNA
ENSG00000224731	antisense
ENSG00000224795	lincRNA
ENSG00000224883	antisense
ENSG00000224924	lincRNA
ENSG00000224940	protein_coding
ENSG00000224982	protein_coding
ENSG00000225110	unprocessed_pseudogene
ENSG00000225140	antisense
ENSG00000225383	lincRNA
ENSG00000225554	lincRNA
ENSG00000225877	lincRNA
ENSG00000225953	antisense
ENSG00000226083	antisense
ENSG00000226155	antisense
ENSG00000226308	lincRNA
ENSG00000226762	lincRNA
ENSG00000226852	lincRNA
ENSG00000226920	3prime_overlapping_ncrna
ENSG00000227392	antisense
ENSG00000227757	antisense
ENSG00000228408	lincRNA
ENSG00000228484	lincRNA
ENSG00000228528	lincRNA
ENSG00000228620	antisense
ENSG00000228971	lincRNA
ENSG00000229122	sense_intronic
ENSG00000229203	lincRNA
ENSG00000229278	antisense
ENSG00000229407	antisense
ENSG00000229520	lincRNA
ENSG00000230269	lincRNA
ENSG00000230453	protein_coding
ENSG00000230641	antisense
ENSG00000230839	lincRNA
ENSG00000230916	processed_pseudogene
ENSG00000231133	lincRNA
ENSG00000231233	antisense
ENSG00000231437	lincRNA
ENSG00000231533	lincRNA
ENSG00000231852	protein_coding
ENSG00000231963	antisense
ENSG00000232406	antisense
ENSG00000232938	transcribed_processed_pseudogene
ENSG00000233123	lincRNA
ENSG00000233196	processed_pseudogene
ENSG00000233393	lincRNA
ENSG00000233427	antisense
ENSG00000233452	antisense
ENSG00000233487	transcribed_processed_pseudogene
ENSG00000233508	lincRNA
ENSG00000233670	protein_coding
ENSG00000233735	antisense
ENSG00000233755	lincRNA
ENSG00000233850	antisense
ENSG00000233932	protein_coding
ENSG00000234056	lincRNA
ENSG00000234177	lincRNA
ENSG00000234336	antisense
ENSG00000234527	antisense
ENSG00000234688	antisense
ENSG00000234917	lincRNA
ENSG00000234919	lincRNA
ENSG00000234921	antisense
ENSG00000235597	lincRNA
ENSG00000235652	antisense
ENSG00000235903	antisense
ENSG00000235961	protein_coding
ENSG00000236066	lincRNA
ENSG00000236279	protein_coding
ENSG00000236668	antisense
ENSG00000236682	lincRNA
ENSG00000236939	antisense
ENSG00000237082	processed_pseudogene
ENSG00000237166	lincRNA
ENSG00000237418	processed_pseudogene
ENSG00000237481	antisense
ENSG00000237515	protein_coding
ENSG00000238194	antisense
ENSG00000238276	processed_transcript
ENSG00000239922	lincRNA
ENSG00000240694	protein_coding
ENSG00000241278	unprocessed_pseudogene
ENSG00000241563	protein_coding
ENSG00000242759	lincRNA
ENSG00000242808	sense_overlapping
ENSG00000243389	3prime_overlapping_ncrna
ENSG00000244493	antisense
ENSG00000245526	lincRNA
ENSG00000246375	lincRNA
ENSG00000246731	antisense
ENSG00000247081	antisense
ENSG00000247970	lincRNA
ENSG00000248079	lincRNA
ENSG00000248285	sense_overlapping
ENSG00000248455	lincRNA
ENSG00000248469	antisense
ENSG00000248587	lincRNA
ENSG00000248794	processed_pseudogene
ENSG00000248839	antisense
ENSG00000248859	lincRNA
ENSG00000249106	antisense
ENSG00000249109	antisense
ENSG00000249306	lincRNA
ENSG00000249436	lincRNA
ENSG00000249853	protein_coding
ENSG00000249896	lincRNA
ENSG00000249937	lincRNA
ENSG00000250166	lincRNA
ENSG00000250241	lincRNA
ENSG00000250584	lincRNA
ENSG00000250686	3prime_overlapping_ncrna
ENSG00000250969	lincRNA
ENSG00000251239	antisense
ENSG00000251372	lincRNA
ENSG00000251442	lincRNA
ENSG00000251621	3prime_overlapping_ncrna
ENSG00000252793	rRNA
ENSG00000252821	snRNA
ENSG00000253230	lincRNA
ENSG00000253661	antisense
ENSG00000253696	lincRNA
ENSG00000253730	antisense
ENSG00000253846	protein_coding
ENSG00000254081	lincRNA
ENSG00000254092	lincRNA
ENSG00000254187	antisense
ENSG00000254348	processed_pseudogene
ENSG00000254370	sense_intronic
ENSG00000254373	processed_pseudogene
ENSG00000254377	lincRNA
ENSG00000254427	lincRNA
ENSG00000254585	protein_coding
ENSG00000255082	antisense
ENSG00000255129	antisense
ENSG00000255202	antisense
ENSG00000255384	lincRNA
ENSG00000255693	lincRNA
ENSG00000255916	antisense
ENSG00000256193	lincRNA
ENSG00000256422	lincRNA
ENSG00000256448	antisense
ENSG00000256577	antisense
ENSG00000256982	lincRNA
ENSG00000257002	antisense
ENSG00000257069	processed_transcript
ENSG00000257434	antisense
ENSG00000257918	antisense
ENSG00000258102	lincRNA
ENSG00000258483	lincRNA
ENSG00000258696	antisense
ENSG00000258702	lincRNA
ENSG00000258813	antisense
ENSG00000258844	lincRNA
ENSG00000259030	protein_coding
ENSG00000259168	antisense
ENSG00000259175	antisense
ENSG00000259319	antisense
ENSG00000259368	antisense
ENSG00000259604	lincRNA
ENSG00000259687	lincRNA
ENSG00000259955	antisense
ENSG00000260088	lincRNA
ENSG00000260166	lincRNA
ENSG00000260211	processed_pseudogene
ENSG00000260328	lincRNA
ENSG00000260426	sense_overlapping
ENSG00000260432	lincRNA
ENSG00000260581	antisense
ENSG00000260657	lincRNA
ENSG00000260664	lincRNA
ENSG00000260788	antisense
ENSG00000260903	protein_coding
ENSG00000260918	sense_overlapping
ENSG00000260920	sense_overlapping
ENSG00000260931	lincRNA
ENSG00000261186	antisense
ENSG00000261292	sense_overlapping
ENSG00000261340	lincRNA
ENSG00000261342	sense_intronic
ENSG00000261374	sense_overlapping
ENSG00000261594	protein_coding
ENSG00000261600	lincRNA
ENSG00000261668	antisense
ENSG00000261675	sense_overlapping
ENSG00000261710	lincRNA
ENSG00000261963	unprocessed_pseudogene
ENSG00000261976	antisense
ENSG00000262223	lincRNA
