dN	dS
0.00650	0.62210
0.02280	0.46340
0.08510	0.59220
0.00000	0.18950
0.00980	0.71110
0.04480	0.45820
0.00060	0.55770
0.03260	0.34280
0.26240	0.54680
0.03520	0.35970
0.01150	0.37450
0.00980	0.37290
0.05410	0.45070
0.02970	0.44560
0.01990	0.37860
0.07490	0.84010
0.07570	1.78660
0.03530	1.14530
0.03960	0.44330
0.01790	0.44510
0.12730	0.39920
0.03620	0.52210
0.05490	0.55630
0.11740	1.19540
0.11860	1.31560
0.00230	0.31870
0.06180	0.46540
0.04020	0.40940
0.10950	0.90120
0.05840	0.69990
0.03160	0.53220
0.10450	0.57180
0.05530	0.63810
0.01180	0.49350
0.01610	0.90320
0.02980	0.60400
0.10000	0.43260
0.02990	1.27080
0.02310	0.77290
0.01290	0.41160
0.01490	0.55080
0.02350	0.53400
0.11150	0.56380
0.10000	0.39310
0.05440	0.57750
0.00860	0.20010
0.03940	0.54890
0.10040	0.57200
0.04420	0.72560
0.00360	0.61270
0.01840	0.56010
0.02940	0.21350
0.13690	0.67330
0.02080	0.23750
0.07300	0.56280
0.13970	1.57420
0.09610	0.63360
0.15470	0.54670
0.00090	0.39150
0.04310	0.45230
0.04830	0.31280
0.00000	0.35640
0.06070	0.60890
0.12530	0.54710
0.06180	0.35170
0.07210	0.73640
0.10070	0.60510
0.04180	0.46380
0.00450	0.29390
0.05490	0.69650
0.00910	0.46310
0.03500	0.40210
0.05180	0.52470
0.11030	0.58590
0.00160	0.46380
0.04470	0.94640
0.04710	0.60610
0.04040	0.58120
0.02500	0.44970
0.26970	0.84240
0.00440	0.56910
0.01250	0.36570
0.00220	0.73100
0.02010	0.31780
0.03830	0.53440
0.03410	0.37630
0.04100	0.40450
0.16510	0.51230
0.08540	0.76600
0.08770	0.97110
0.07600	0.94220
0.03570	0.42420
0.02490	0.44090
0.00280	0.52570
0.04410	0.68260
0.04300	0.37150
0.08400	0.45090
0.00000	0.21300
0.07720	0.45370
0.00320	0.42800
0.02370	0.49510
0.61790	1.02780
0.54910	0.93240
0.14450	1.32810
0.04740	0.38160
0.08020	0.48250
0.07110	0.48170
0.01970	0.65670
0.02180	0.52520
0.02300	0.44120
0.00970	0.68720
0.05790	0.76350
0.57520	1.21400
0.47250	0.85070
0.55250	1.29350
0.13750	0.79790
0.07340	0.68100
0.03100	0.40440
0.06480	0.47880
0.04920	0.99930
0.10240	0.44030
0.05330	0.41830
0.05740	0.32080
0.14520	0.52110
0.02400	1.22180
0.03290	0.38230
0.03470	0.44850
0.06710	0.42650
0.00220	0.45830
0.07390	0.44160
0.00740	1.06990
0.06070	0.41560
0.01960	0.48310
0.09740	0.55350
0.00240	0.53160
0.08230	1.19070
0.13900	0.57050
0.00050	0.50910
0.00470	0.41280
0.02450	0.21750
0.01120	0.30690
0.07720	0.51580
0.16410	0.95580
0.01300	0.41850
0.45090	0.68580
0.07550	0.59850
0.09370	0.63240
0.09360	0.63360
0.01000	0.76620
0.14070	0.75280
0.00090	0.21920
0.04070	0.59270
0.00250	0.33280
0.02570	0.60200
0.00050	0.53140
0.13350	0.26580
0.10310	0.48230
0.09240	0.73150
0.10300	0.69490
0.04010	0.42480
0.02280	0.33350
0.01510	0.32340
0.01120	0.51210
0.17010	0.40150
0.00590	0.40280
0.02140	0.38220
0.04470	0.27490
0.02330	0.40610
0.07550	0.69620
0.00960	0.69190
0.03150	0.49780
0.04330	0.47390
0.02720	0.64420
0.12000	0.45890
0.04090	0.40960
0.04530	0.55080
0.03550	0.36560
0.02920	0.50060
0.01310	0.26750
0.01800	0.31160
0.37980	0.61420
0.01890	0.32940
0.19630	0.28980
0.00000	0.46370
0.01340	0.80910
0.00810	0.39160
0.06120	0.73410
0.08080	0.77020
0.01410	0.41470
0.02720	0.38740
0.02580	0.53360
0.10840	0.93910
0.01530	0.39580
0.03080	0.66840
0.01180	0.45930
0.01320	0.46390
0.03320	0.79280
0.08060	0.41640
0.09170	0.72740
0.07310	0.63700
0.04350	0.75140
0.05690	0.66470
0.01600	0.39970
0.10510	0.31670
0.02750	0.82270
0.02900	0.49530
0.04400	0.46820
0.01250	0.58450
0.11830	0.55190
0.03510	0.36180
0.10610	0.94570
0.08030	0.67160
0.05770	0.67280
0.03890	0.47200
0.03780	0.59020
0.04220	0.73010
0.01940	0.20400
0.01960	0.39470
0.01170	0.34140
0.00000	0.28290
0.09370	0.68810
0.03130	0.75730
0.00550	0.91840
0.02610	0.64420
0.05120	0.66210
0.01000	0.66180
0.05160	0.50440
0.01020	0.71310
0.00800	0.40980
0.23580	1.70030
0.12290	0.76360
0.10970	1.19520
0.01390	0.47370
0.01090	0.42730
0.18990	0.94670
0.04200	0.91940
0.02790	0.67110
0.04040	0.43500
0.02220	0.59140
0.01670	0.50330
0.02630	0.16570
0.16970	0.63770
0.04960	0.84440
0.01290	0.60490
0.02460	0.39220
0.01870	0.53560
0.02430	0.43110
0.00640	0.33700
0.04500	0.65230
0.03770	0.53000
0.09860	0.55050
0.01260	0.60090
0.38010	0.66190
0.35270	0.69950
0.01340	0.43880
0.08980	0.52230
0.00920	0.99710
0.09210	0.68260
0.00870	0.55440
0.12360	0.68720
0.03500	0.56010
0.01730	0.33950
0.07700	0.41580
0.01970	0.43770
0.00820	0.41300
0.01000	0.31240
0.00580	0.47370
0.02460	0.36700
0.23250	0.60680
0.02780	0.40740
0.03100	0.45120
0.06780	0.35620
0.01530	1.01190
0.02100	0.39500
0.00030	0.32540
0.06360	0.73960
0.03600	0.53090
0.00560	0.43140
0.27880	0.91300
0.11970	0.58170
0.15520	1.56360
0.11430	0.63580
0.02560	0.44910
0.10680	0.46880
0.14230	0.49900
0.03470	0.47960
0.00980	0.37330
0.04500	0.66520
0.06790	1.00080
0.00460	0.33000
0.05320	0.40570
0.02790	0.54470
0.04590	0.90140
0.06860	0.65150
0.02400	0.61380
0.06240	0.38770
0.01760	0.37680
0.01580	0.35800
0.02280	0.26960
0.04280	0.26470
0.09240	1.32820
0.03740	0.41610
0.03870	0.52580
0.11220	0.49470
0.00180	0.74890
0.00910	0.56470
0.02080	0.98610
0.06070	0.41370
0.00270	0.21490
0.05810	0.66340
0.02440	0.37350
0.08970	0.73520
0.09600	0.76110
0.08170	0.79910
0.13510	0.91560
0.02180	0.78690
0.04400	0.47100
0.07960	0.54300
0.00450	0.26690
0.05710	1.15940
0.08880	0.88160
0.28710	1.25170
0.07510	1.18270
0.04940	0.80690
0.01220	0.46530
0.05170	0.62510
0.18200	0.60810
0.04070	0.66780
0.07570	2.01090
0.01230	0.27440
0.04520	0.93890
0.09720	1.18230
0.01510	0.82680
0.02520	0.84090
0.00170	1.59950
0.00590	1.33290
0.21120	1.78260
0.03240	1.47350
0.02080	1.01390
0.09930	0.78810
0.04370	0.74610
0.06120	0.81590
0.03550	0.74340
0.04290	0.52010
0.09320	0.61980
0.01590	0.38320
0.02560	0.84810
0.00060	0.61840
0.20420	0.72850
0.14730	1.35340
0.05090	0.53930
0.00790	0.43210
0.04950	0.71060
0.04970	0.73750
0.00000	0.41160
0.05490	0.83870
0.00660	0.33050
0.12450	0.53640
0.02270	0.85550
0.03540	0.68800
0.02560	0.71730
0.04350	0.58600
0.02010	0.40710
0.05420	0.88880
0.27320	0.94200
0.10960	0.69350
0.05040	0.72170
0.21480	0.89930
0.00490	0.49880
0.22400	0.70530
0.03500	1.28530
0.05020	0.57420
0.03810	0.61810
0.00380	0.93260
0.00000	0.60160
0.00000	0.58310
0.12480	0.75730
0.00330	0.95310
0.02460	0.40540
0.01960	0.60190
0.00570	0.48890
0.13700	0.39730
0.03790	0.36350
0.15550	0.54990
0.02780	0.42740
0.09540	0.32590
0.00280	0.38950
0.01380	0.48570
0.17080	0.46290
0.01270	0.48420
0.04420	0.45680
0.13650	0.66110
0.02680	0.75030
0.08410	0.70870
0.07310	0.68630
0.12100	1.21470
0.15750	0.63550
0.03080	0.66930
0.01470	1.10520
0.01330	0.57610
0.06340	0.56040
0.05610	0.65030
0.05610	0.65030
0.07110	0.58580
0.15200	0.87630
0.01980	0.48460
0.02000	0.78110
0.08300	0.69130
0.12090	0.78950
0.07970	0.86410
0.05790	0.49460
0.00750	0.77260
0.03210	0.41840
0.01070	0.74690
0.06750	0.48350
0.06640	0.39070
0.01280	1.01100
0.02160	0.78600
0.05930	0.60950
0.00480	0.56170
0.01820	0.15460
0.03110	0.66080
0.09120	0.47990
0.04690	0.87680
0.03870	0.64970
0.02680	0.39020
0.03140	0.37150
0.04410	0.58340
0.05750	0.63640
0.01880	0.65120
0.00000	0.51170
0.01580	0.53470
0.00850	0.72330
0.06310	0.56670
0.02170	0.54720
0.01420	0.27290
0.08880	0.97070
0.02210	0.63570
0.09390	0.88740
0.01680	0.37780
0.12030	0.56520
0.02650	0.31320
0.08970	0.39100
0.00950	0.37020
0.05540	0.43730
0.02400	0.52100
0.14280	0.67980
0.02740	0.53640
0.00030	0.34490
0.00040	0.41370
0.00770	0.40100
0.05390	0.52090
0.00540	0.43710
0.03780	0.39870
0.01610	0.28560
0.02490	0.36490
0.01760	0.37830
0.09780	0.87160
0.09720	0.46700
0.00330	0.40540
0.02740	0.93800
0.13300	0.72480
0.00850	0.26710
0.00000	0.30840
0.05100	0.43750
0.05530	0.36280
0.01180	0.32390
0.01040	0.33750
0.03510	0.41200
0.07750	0.79750
0.03570	0.52920
0.05420	0.25470
0.15610	0.87330
0.04880	0.57940
0.00040	0.40440
0.00550	0.32050
0.06700	0.55380
0.03160	0.47270
0.00830	0.25440
0.07450	0.38250
0.06010	0.45820
0.02700	0.64270
0.14240	0.78690
0.00090	0.48240
0.00090	0.48240
0.01840	0.37040
0.03470	0.39340
0.03910	0.45240
0.05160	0.53540
0.02940	0.36820
0.02940	0.36830
0.14390	0.55290
0.00480	0.42760
0.03200	0.42560
0.03100	0.36600
0.04770	0.62050
0.10210	0.76890
0.02170	0.51230
0.06450	0.34630
0.01180	0.37550
0.02030	0.87890
0.05220	0.48710
0.26170	0.91990
0.07190	0.37130
0.04580	0.58330
0.04590	0.39400
0.01990	0.44580
0.02660	0.41720
0.00210	0.84390
0.00610	0.67100
0.04220	0.45170
0.00220	0.96220
0.01240	0.78820
0.09760	0.82980
0.00940	0.61900
0.02990	0.77520
0.13570	0.93020
0.00580	0.43690
0.01730	0.46560
0.16220	0.88170
0.00200	0.62510
0.06530	0.67690
0.03030	0.95650
0.05290	0.52280
0.10580	0.77930
0.01510	0.74690
0.00590	0.22770
0.00590	0.22410
0.02100	0.56780
0.01670	0.39610
0.00230	0.89260
0.01700	0.43240
0.07630	0.78490
0.01700	0.58060
0.04370	0.54010
0.00910	0.52600
0.04880	0.54160
0.06270	0.49530
0.03110	0.48740
0.01640	0.33110
0.06810	0.50280
0.03700	0.59260
0.08850	0.38780
0.00290	0.31580
0.00190	0.52880
0.05370	0.83420
0.01420	0.51580
0.01430	0.53890
0.02650	0.49330
0.01700	0.55480
0.04960	1.33610
0.01460	0.31550
0.07990	0.60170
0.06130	0.45710
0.11720	0.77170
0.29970	0.94690
0.01400	0.42320
0.01310	0.24290
0.05220	0.53020
0.07350	0.56340
0.00780	1.35410
0.13800	0.59320
0.03020	0.44490
0.02970	0.27390
0.03700	0.33700
0.02760	0.74040
0.02010	0.41000
0.05810	0.43470
0.00370	0.58440
0.02780	0.73000
0.00400	0.30910
0.06410	0.58700
0.12490	0.38940
0.12520	0.39970
0.01960	0.41570
0.00770	0.31340
0.01580	0.19970
0.02430	0.36580
0.06940	0.76380
0.13960	0.84500
0.01210	0.49880
0.01080	0.30880
0.01080	0.30880
0.05470	0.35700
0.01830	0.34830
0.05190	0.68240
0.12550	0.56670
0.01240	0.34780
0.09010	0.58790
0.12960	0.72660
0.16030	0.75850
0.01310	0.27440
0.07540	0.30470
0.01580	0.53090
0.10280	0.58490
0.13180	0.50520
0.01550	0.51080
0.35550	0.64240
0.29690	0.50740
0.04640	0.44060
0.05780	0.45130
0.02710	0.80810
0.02660	0.63960
0.24600	0.69500
0.34200	0.58290
0.04820	0.52200
0.21060	0.55310
0.00360	0.28340
0.06220	0.42920
0.07610	0.63810
0.07480	0.33370
0.06160	0.74490
0.12650	0.95610
0.07180	0.47030
0.01470	0.68380
0.13910	0.68720
0.05310	0.55970
0.05910	0.42300
0.00000	0.29370
0.00000	0.29370
0.01170	0.47160
0.27870	0.64600
0.03660	0.29650
0.02280	0.49080
0.10430	0.51350
0.02450	0.50830
0.00380	0.34890
0.24230	0.55020
0.00320	0.53770
0.03700	0.33030
0.02550	0.40660
0.09940	0.62900
0.14570	0.57290
0.05780	1.72780
0.00710	0.60940
0.02870	0.60140
0.02650	0.57500
0.02580	0.47160
0.13710	0.79350
0.06040	0.64420
0.01900	0.57290
0.07910	0.59260
0.11140	0.78350
0.06580	0.82990
0.11020	0.69200
0.01750	0.58740
0.06420	1.03560
0.16040	0.76140
0.21740	0.85850
0.10560	0.75040
0.02080	1.39350
0.09580	0.75940
0.04680	0.85820
0.08720	1.03280
0.05750	0.96540
0.11930	1.38740
0.06580	0.87620
0.01530	0.93090
0.15360	1.11000
0.04960	1.05930
0.00990	1.28200
0.06070	0.61300
0.00060	0.59400
0.04990	0.79410
0.05840	1.14370
0.11350	1.42880
0.03790	0.34830
0.01510	0.39520
0.08210	0.56520
0.01450	0.54640
0.08400	0.49230
0.11430	0.88680
0.05480	0.62570
0.07040	0.44590
0.05330	0.52730
0.04590	0.50740
0.06320	0.45900
0.04540	0.76240
0.01640	0.61440
0.02360	0.63700
0.03720	0.86860
0.03530	0.69980
0.04190	0.67370
0.03590	0.71270
0.08150	0.57520
0.06960	0.57770
0.00390	0.69700
0.01320	0.33340
0.06140	0.32030
0.00000	0.19300
0.09190	0.70160
0.05770	0.74930
0.12430	0.45170
0.01460	0.72300
0.06160	0.46250
0.13160	0.49490
0.00860	0.38360
0.05490	0.47290
0.01740	0.26950
0.01740	0.26950
0.14600	0.53760
0.01940	0.75830
0.06810	1.01640
0.09680	1.11160
0.08760	0.60180
0.01280	0.51150
0.18630	0.71680
0.06670	0.38020
0.09710	0.62790
0.04170	0.39310
0.02180	0.17860
0.03760	0.65940
0.00650	0.39220
0.00050	0.49020
0.02820	0.96000
0.12670	0.56810
0.00840	0.46430
0.38080	0.96110
0.02780	0.74180
0.07910	0.68320
0.02200	0.62960
0.16300	0.91730
0.01730	0.78190
0.33870	1.32890
0.07260	0.83100
0.00000	0.37020
0.11830	0.85100
0.00820	0.39460
0.14000	0.59480
0.01710	0.40910
0.15900	1.02620
0.07360	1.20360
0.01500	0.87340
0.15010	0.73460
0.00700	0.43820
0.08820	0.89470
0.09300	0.64140
0.01200	0.75480
0.02600	0.71400
0.01790	0.77650
0.06390	0.82920
0.23460	1.46480
0.11740	0.78140
0.01150	0.84160
0.08160	0.92380
0.22160	1.51840
0.06920	0.88100
0.02130	0.97410
0.07610	0.57720
