dN	dS
0.32050	0.81920
	
	
0.17350	0.82610
0.10110	0.71370
0.00090	0.48240
0.00090	0.48240
0.00050	0.53750
	
0.16610	0.62730
0.17190	0.94310
0.12470	0.97420
0.01520	0.62320
	
0.28350	1.20410
0.05000	0.42810
0.32980	0.89850
0.26200	1.11650
0.36410	0.86570
0.33660	0.91550
0.28490	0.88000
0.38020	0.94000
0.06560	0.59090
0.03940	0.39690
0.13110	0.51310
0.03350	0.28400
0.04210	0.30420
0.12860	0.52230
0.01240	0.49600
0.06350	0.74220
0.23440	0.73990
0.18430	0.78670
0.25900	0.87640
	
	
	
0.00690	0.29260
	
0.19150	0.52110
	
	
	
	
0.24290	0.56580
0.02890	1.20630
	
	
0.07850	0.62130
0.14030	0.48670
0.01520	0.84350
	
	
	
0.02560	0.92250
0.16730	0.57560
0.19880	0.76470
0.15150	1.29050
	
	
	
0.01570	1.06630
0.12670	0.56810
0.04390	0.84420
0.08330	1.81870
0.04060	0.48600
	
	
	
0.24770	0.79490
0.00240	0.55750
	
	
0.09710	0.82540
	
	
0.13740	0.55610
0.22870	1.50740
	
	
	
	
	
0.02640	0.41590
0.05550	0.66260
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
0.21380	0.51710
0.06950	0.50420
	
0.25590	0.60730
0.16580	0.58760
0.02160	0.42170
0.01230	0.52900
0.11280	0.88890
0.02360	0.46930
0.00270	0.42820
0.06900	0.87670
0.00020	0.22750
0.02400	0.30160
	
0.03830	0.59030
	
	
	
	
	
	
	
	
	
	
	
0.15700	1.20030
0.09530	0.45560
0.01910	0.62920
0.03460	0.84690
	
	
0.02190	0.45990
	
0.11280	0.81830
	
0.02160	0.54060
	
	
	
0.37760	1.19380
0.03310	0.48220
	
	
0.05410	0.50270
	
	
0.50110	1.15530
0.02370	0.46430
0.08490	0.48400
0.00380	0.43280
0.03060	0.38940
	
0.04810	0.48200
0.01560	0.46840
	
0.00400	0.30910
0.00860	0.41800
0.05820	0.22220
0.00590	0.25400
	
0.00540	0.49700
0.00990	0.57580
0.10980	1.00710
0.02460	1.25610
	
	
0.00950	0.48940
0.01660	0.65490
0.08880	1.16910
0.03210	0.36040
0.03900	1.40700
	
	
	
	
	
	
	
0.04410	0.54920
0.22520	3.13430
	
0.01980	0.60020
0.19470	0.62250
0.18160	0.71110
0.11320	1.28510
0.05490	0.50490
	
	
	
0.27600	0.73220
	
0.06020	0.47620
0.02980	0.94140
	
0.04020	0.50150
0.07710	0.45100
0.15340	0.77660
0.05380	1.97190
0.04230	0.73200
	
0.01700	0.56260
0.12800	0.49260
0.20360	0.49620
0.03290	0.43580
0.30270	0.52720
	
0.15260	0.73660
0.04010	0.42480
0.01640	0.95980
0.00490	0.43800
0.04840	1.89080
0.04570	0.51410
0.17980	1.16520
0.14090	0.79080
0.02290	0.37900
	
	
0.01050	0.56400
0.00600	0.59000
0.12030	0.63470
0.10260	0.46600
0.03360	0.31870
0.02220	0.47740
0.04370	0.99420
0.02440	0.71060
0.02520	1.10990
	
	
0.05700	0.56170
0.15000	0.70210
0.12970	0.81750
0.04780	0.55080
0.17970	0.70740
0.17270	0.65390
0.02640	0.70050
0.11760	0.42850
	
	
0.01940	0.20400
0.14370	0.60330
0.12020	0.71300
	
0.08370	0.86100
0.02160	0.50000
0.16620	1.61970
0.29270	0.97920
0.05870	0.56310
	
0.16480	0.67490
0.20880	0.67930
0.14430	0.74990
0.17290	0.70820
0.16790	0.74020
0.22240	0.68070
0.17690	0.71650
0.20270	0.61280
0.17290	0.59570
	
	
0.05680	0.50630
0.53010	1.61990
0.21620	1.25870
0.00350	0.58820
0.14410	0.44210
	
	
	
	
	
	
	
	
0.23260	0.74220
0.07790	0.47590
	
	
0.00000	0.50520
0.00950	0.79680
0.03150	0.69490
	
	
0.05350	0.56650
0.30880	0.78860
	
	
	
0.21060	0.62780
0.11040	0.71770
0.10500	0.52380
0.10100	0.54330
	
	
0.19400	0.98910
0.02380	0.43400
0.12170	0.46390
	
	
0.23830	0.73410
0.10640	0.88910
0.05830	0.80730
0.05690	0.68300
0.03650	0.62620
0.04350	0.90960
0.32580	0.62970
0.11470	0.54970
0.21920	0.58700
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
0.26560	0.46910
0.31680	0.43170
0.26680	0.42070
0.29900	0.56410
0.29330	0.53600
0.30360	0.56390
0.30170	0.63580
0.32200	0.40420
0.06160	0.72380
0.22440	0.62050
0.05130	0.48470
0.05580	0.71860
0.08750	0.40440
	
0.42260	0.80260
0.53260	0.81460
0.03090	0.60250
0.14790	0.41800
	
0.25540	0.85030
0.34320	0.62410
0.05080	0.45060
0.02560	0.33340
0.13220	0.66360
0.02650	0.30220
0.05950	0.47580
0.25100	0.83400
0.04760	0.26720
0.13890	0.89890
0.01830	0.44960
0.12840	0.62010
0.11390	0.73900
0.13320	0.79310
0.13320	0.79310
0.02330	0.76670
0.07160	0.59680
	
	
	
	
	
	
	
	
	
	
	
	
	
	
0.15850	0.63050
0.03040	0.63670
0.05930	0.84980
0.00270	0.29890
0.01120	0.57150
0.13850	0.70250
0.09590	0.42160
0.01990	0.44580
0.06550	0.45340
0.05420	0.36190
0.00810	0.39160
0.17830	0.69390
0.05710	0.61140
0.02690	0.51770
0.05010	0.93100
0.11880	0.84240
0.22260	0.84610
0.01160	0.64980
0.04740	0.32790
0.20760	0.88510
0.11720	1.55200
0.05150	0.70240
0.00500	0.38640
0.06230	0.84150
0.15840	1.60280
0.01600	0.91200
0.02780	0.73000
0.00320	0.35710
0.29360	0.76720
0.01760	0.50580
0.01420	0.15580
0.10270	0.43860
0.01180	0.56970
0.04720	1.13850
0.04700	0.50220
0.15900	0.54590
0.16860	0.88470
0.03300	1.35740
0.05610	0.69640
0.01220	0.65620
0.13300	0.99960
0.06420	0.40330
0.19130	0.53480
0.02140	0.56280
0.20430	0.56350
0.01490	0.19420
0.01490	0.19420
0.04350	0.75140
0.03600	0.42900
0.07110	0.55610
	
0.05330	0.68980
0.02830	0.41840
0.05840	0.78910
0.00440	0.97500
0.06870	0.57440
0.23490	0.50460
0.07750	0.85140
0.05610	0.46920
0.14380	0.55840
0.11120	0.67160
0.60060	0.63940
0.41160	0.64060
0.48510	0.78670
0.40220	0.59140
0.02020	0.72810
0.09290	0.48680
0.14400	1.20310
0.27660	1.60050
0.02670	0.67550
0.09620	0.75360
0.11060	0.69550
0.11660	0.33630
0.00550	0.32330
0.05800	0.57640
0.12040	0.46990
0.04250	0.54050
0.18480	0.72710
0.04110	0.53240
0.00370	0.38010
0.00190	0.57970
0.13410	0.52380
0.06670	0.58370
0.23280	0.50130
0.33250	2.11320
0.11540	0.80730
0.02650	0.72360
0.16100	0.87670
0.03570	0.51740
0.03950	0.66180
0.03030	0.69620
0.09320	1.10620
0.03420	0.88280
0.00000	0.42870
	
	
0.21100	0.90220
0.20540	0.48460
0.11060	0.51420
	
0.00000	0.27010
0.04440	0.38520
0.10280	0.86010
0.01620	0.43230
0.02070	0.57840
0.07880	0.55780
0.23350	0.87880
0.02370	0.63030
0.17670	0.60420
0.01830	0.57360
0.03590	0.54730
0.09350	0.69510
0.27000	0.53530
0.11740	0.96710
0.30410	1.04370
0.24080	0.91010
0.11400	0.89740
0.09800	1.49690
0.00000	0.39240
0.13960	0.38290
0.00170	0.30340
0.11410	0.74780
0.21610	1.33340
0.15940	0.66730
0.03390	0.67530
0.22910	0.73710
0.22080	1.09860
0.02570	0.60200
0.14160	0.60280
0.03840	0.79410
0.06060	1.56730
0.06870	0.97950
0.10280	0.58360
0.03320	0.55870
0.00570	0.96900
0.00920	0.99710
0.06110	0.90780
	
	
0.02420	0.50520
0.13210	0.48250
0.20250	1.18040
0.14300	0.34070
0.28620	1.02670
0.12460	1.13030
0.01700	0.48600
0.04820	0.65910
0.07240	0.57040
	
0.05080	0.38840
0.01000	0.22610
0.06490	0.45230
0.01260	0.32530
0.10880	0.51350
0.01420	0.23620
0.06080	0.45870
0.05700	0.50590
0.21510	0.64700
0.25770	1.03170
0.00370	0.44120
0.03840	0.39570
0.00000	0.18950
0.10900	0.56060
0.00580	0.60800
0.09660	0.59990
0.13100	0.63570
0.12580	0.73560
0.02720	0.45760
0.02270	0.34050
0.04200	0.94850
0.04220	0.45170
0.02950	1.02710
0.04520	0.61910
0.06510	0.99240
0.00450	0.12030
0.03950	0.45010
0.02030	0.32760
0.02610	0.46410
0.29740	0.72680
0.04060	0.79740
0.08510	0.68960
0.02500	0.43720
0.29130	1.04440
0.35530	0.72780
0.02960	0.59410
0.01990	0.71690
0.03840	0.46780
0.15440	0.55530
0.15780	0.54080
0.12650	0.60930
0.61210	0.73990
0.65490	0.77740
0.69780	0.89780
0.63660	0.79320
0.64460	0.80510
0.71930	0.93920
0.69350	0.95960
0.59510	0.73890
0.70570	0.84950
0.83090	0.83270
0.84040	1.16490
0.29810	0.53500
0.03060	0.62630
0.01700	0.69190
0.15170	0.69640
0.00550	0.32050
0.14080	0.83690
0.04510	0.65460
0.20730	0.92850
0.05210	0.59750
0.03930	0.90960
0.14340	0.86680
0.01360	0.68090
0.09610	1.06780
0.11840	0.47870
0.13030	0.49750
0.08820	0.44570
0.06810	0.94810
0.04640	0.34220
0.06000	0.42040
0.00460	0.52530
0.49860	1.20340
0.47620	1.23920
0.45020	1.09910
0.57630	1.23220
0.19460	0.93150
0.12970	1.30750
0.06220	0.57050
0.03650	1.14460
0.00000	0.57330
0.04240	0.54960
0.03490	0.56610
0.12000	0.67560
0.02600	0.70670
0.13860	0.76400
0.00620	0.51020
0.16140	0.89780
0.04310	0.39580
0.22760	0.56370
0.00610	0.53730
0.04170	0.82710
0.00680	0.99780
0.00680	0.91780
0.01750	0.93360
0.01020	0.71310
0.01540	0.53310
0.08260	0.42910
0.06220	0.74770
0.00860	0.30410
0.14070	0.55710
0.06360	0.50360
0.05420	0.85030
0.08750	0.81220
0.22460	0.65500
0.03970	0.42950
0.14450	0.54680
0.04740	0.62860
0.04890	0.40580
0.02300	0.36630
0.09660	0.49340
0.05750	0.55420
0.10410	0.83550
0.07980	0.91640
0.08170	0.62580
0.12010	0.54100
0.05270	0.61880
0.11480	0.55240
0.08290	0.75760
0.71610	1.23080
0.02750	0.46200
0.76390	1.94030
0.77600	2.20830
1.10960	63.40160
0.64770	1.48480
0.76210	2.05470
0.68270	1.80520
0.77260	2.16340
0.77790	2.08970
0.82250	2.96160
0.84270	2.61950
0.07980	1.21830
0.10200	0.37280
0.15420	0.50910
0.04280	0.53720
0.05720	0.32850
0.00090	0.46800
0.16990	0.70710
0.14680	0.41670
0.15490	0.78120
0.12100	0.75730
0.14950	0.64190
0.02460	0.52470
0.01180	0.75610
0.11600	0.68120
0.17920	0.81900
0.02280	0.46410
0.02490	0.56110
0.21060	0.58570
0.05220	0.36050
0.17500	1.05540
0.07290	0.89020
0.08820	0.39350
0.27300	1.08770
0.04260	0.30670
0.05320	0.56890
0.11320	0.56560
0.02490	0.45160
0.00980	0.34800
0.00620	0.43150
0.08580	0.71930
0.07180	0.45730
0.01080	0.56240
0.04870	0.63750
0.06210	0.39330
0.14540	0.64280
0.15100	0.50340
0.17780	0.65300
0.03240	0.47930
0.02000	0.78110
0.07770	0.34850
0.00920	0.69980
0.03190	0.37550
0.05720	0.52680
0.16360	1.11380
0.09160	0.86450
0.04010	0.55170
0.01080	0.50590
0.09580	0.75940
0.11850	1.61710
0.00000	0.30100
0.00000	1.26630
0.00520	0.09430
0.06880	0.57420
0.07220	0.66880
0.11920	0.83750
0.06280	0.33660
0.43440	1.08400
0.44940	0.99480
0.03320	0.89190
0.02880	0.55500
0.03370	0.48750
0.21250	0.46380
0.01240	0.43900
0.00600	0.17540
0.04000	0.51810
0.05900	0.65750
0.23260	0.92940
0.12630	0.82720
0.01220	0.73680
0.12500	1.16490
0.27510	0.81150
0.01640	0.31000
0.05000	0.56340
0.27580	68.11600
0.37780	0.74730
0.02450	0.65450
0.00380	0.56280
	
0.11510	0.48530
0.20540	0.49070
0.01410	0.41470
0.01640	0.78480
0.04980	0.53600
0.02620	0.60580
0.13480	0.61230
0.23120	0.96350
0.00860	2.29480
0.09020	0.49580
0.01850	0.43010
0.05590	0.48340
0.04590	0.56550
0.02120	0.35980
0.07690	0.51080
0.17040	0.61370
0.15540	0.75830
0.11740	8.04580
0.09850	1.31400
0.07500	0.46440
0.02100	0.42220
0.04150	0.48350
0.00340	1.00040
0.07320	0.56200
0.19000	0.65360
0.00000	0.27510
0.03010	0.27390
0.20040	1.04120
0.09290	0.90690
0.03090	0.67850
0.02940	1.11840
0.13040	0.68320
0.11760	1.21510
0.03170	0.54270
0.04230	1.49030
0.12920	0.74230
0.02020	0.23480
0.06770	0.63370
0.36850	0.57720
0.11630	0.44210
0.06650	0.79720
0.00490	0.26160
0.05980	1.19620
0.09920	0.63700
0.04190	0.56370
0.16020	0.68630
0.05050	0.44920
0.07540	0.46890
0.10480	0.51320
0.46480	0.77970
0.11680	0.76090
0.06470	0.58640
0.14780	0.57230
0.08430	0.70060
0.07250	0.65560
0.10720	1.11790
0.01300	0.51680
0.30190	0.59860
0.06530	0.62120
0.11300	1.01670
0.02680	0.42930
0.09530	0.95600
0.12450	0.61880
0.22200	1.28290
0.13340	0.49290
0.02320	0.71600
0.09870	0.95100
0.10000	0.71970
0.04340	0.49460
0.30570	0.98680
0.01440	0.70430
0.19650	1.01270
0.01050	1.62280
0.14080	1.28930
0.13340	0.42760
0.10180	1.08050
0.42750	0.93940
0.51010	0.83220
0.09570	0.87140
0.03070	0.56590
0.19100	0.63470
0.04300	0.45310
0.16410	0.74560
0.45440	0.77220
0.06030	0.52400
0.04390	1.06770
0.02650	0.47680
0.15340	0.62240
0.20070	0.39220
0.11910	0.88970
0.12800	0.92290
0.02650	0.21850
0.00150	0.51990
0.00990	0.40890
0.02700	0.42450
0.24330	0.64120
0.12670	0.44950
0.40420	1.09240
0.10280	0.57840
0.16310	0.88450
0.07300	0.56280
0.02180	0.57970
0.04430	0.27800
0.00050	0.48290
0.19860	0.72670
0.21490	0.68940
0.03340	0.80300
0.09310	0.50220
0.06810	0.63810
0.03180	0.62080
0.01930	0.38790
0.05040	0.49820
0.07420	0.74720
0.06980	0.72350
0.01040	0.33750
0.05500	0.70590
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
0.00840	0.75200
0.00000	0.56660
0.07270	0.50920
0.11960	0.82870
0.03160	0.57060
0.15220	0.73320
0.05700	0.56650
0.07350	0.79970
0.19610	0.70410
0.03020	0.45780
0.09250	1.13030
0.06940	0.64030
0.07770	1.00140
0.13690	0.83710
0.10860	0.52820
0.00520	0.91520
0.01010	0.64200
0.13430	0.71100
0.57280	1.76380
0.77890	64.22520
0.61760	3.27180
0.65140	1.99330
0.82880	2.67820
0.69620	1.67270
0.77900	64.24930
0.77890	64.24940
0.58160	2.15210
0.68080	1.17050
0.08780	0.46430
0.00760	0.46110
0.08010	0.82860
0.08180	0.74210
0.00740	0.50020
0.04750	0.58410
0.06430	0.54410
0.09700	0.36430
0.02940	0.37150
0.20700	1.15530
0.13270	0.58350
0.09170	0.79300
0.00000	0.15940
0.12420	0.93420
0.07160	0.94140
0.01580	0.31050
0.03160	0.56720
0.03200	0.69260
0.18650	0.54630
	
	
	
0.08650	0.68050
0.08950	0.65080
0.10800	0.72990
0.09830	0.66800
0.15710	0.45340
0.02140	0.44070
0.00740	0.42190
0.11140	0.47750
0.06180	0.49630
0.18120	0.55810
0.25520	5.56490
0.00560	0.43810
0.01420	0.45390
0.04560	0.64210
0.03910	0.45240
0.00160	1.09350
0.01840	0.64670
0.26180	1.22240
0.06430	0.85350
0.03090	0.47800
0.11990	0.57590
0.01060	0.40490
0.12360	1.08180
0.08860	0.50430
0.04220	0.50840
0.07450	0.55410
0.06600	0.93660
0.16950	0.86280
0.10160	0.43440
0.05540	0.64830
0.04830	0.62100
0.04020	0.62640
0.07570	0.52480
0.05500	1.10930
0.02890	0.56370
0.11730	0.55600
0.29210	0.69040
0.02070	0.65440
0.02200	0.47220
0.04700	0.57900
0.18640	0.91720
0.20930	1.08780
0.12340	0.65650
0.08160	0.49810
0.00680	0.34810
0.02600	0.52040
0.14710	1.19670
0.14870	0.43450
0.13910	0.68720
0.05850	0.36000
0.03510	0.53630
0.01190	0.52370
0.17890	0.58900
	
0.00250	0.81750
0.09330	0.55720
0.02820	0.52990
0.13190	0.49280
0.07190	0.71620
0.47970	0.94960
0.52970	1.01030
0.02470	0.63850
0.24510	0.52290
0.00000	1.12300
0.09420	0.60820
0.11850	0.52390
0.10300	0.69490
0.02650	0.79560
0.25680	0.62820
0.01040	0.34950
0.00000	0.17230
	
0.08890	0.50990
0.09620	1.02730
0.02810	0.80760
0.09020	0.50890
0.01240	0.67530
0.07440	0.53650
0.04410	0.58790
0.15630	0.75830
0.12170	0.78340
0.12300	0.79860
0.80290	2.01790
0.77670	2.60610
1.13710	63.46350
0.68160	1.67740
0.77150	2.24820
0.69230	1.65240
0.77370	2.53250
0.77860	2.44120
0.84960	2.77040
0.87660	2.50350
0.28150	0.53200
0.31530	0.56430
0.30000	1.10020
0.03820	0.55760
0.00000	0.57420
0.14240	1.20380
0.27620	0.74980
0.01460	0.50600
0.22350	0.63160
0.01570	1.07790
0.24250	1.60560
0.47880	0.83840
0.49050	0.83250
0.02350	0.54630
0.07270	0.51110
0.07780	0.42230
0.04230	0.94430
0.00820	0.40130
0.04650	0.66440
0.53310	0.76180
0.55210	0.77770
0.53100	0.77480
0.05560	0.42180
0.00930	0.76610
0.26890	0.70350
0.14460	0.59900
0.02070	0.41760
0.01280	0.30120
	
	
	
	
0.20920	0.74570
0.08140	0.42360
0.08700	1.07990
0.16150	0.74540
0.05450	0.44460
0.01490	0.43170
0.04910	0.41470
0.08190	0.89340
0.08880	0.55420
0.06270	1.25310
0.07310	1.23670
0.08850	1.38350
0.06070	1.04380
0.05090	0.84510
0.07160	0.47030
0.34840	0.58230
0.04590	0.61240
0.10930	0.90980
0.16120	0.60940
0.00950	0.26470
0.00450	0.31990
0.03500	0.36630
0.16300	0.91730
0.05160	3.73810
0.20270	0.90740
0.04240	0.34020
0.03470	0.95290
0.03040	0.55330
0.06240	0.38770
0.05170	0.48530
0.05410	0.48950
0.01330	0.36000
0.24180	0.48680
0.29450	0.83860
0.07350	0.53710
0.07220	0.67650
0.49710	0.74940
0.02790	0.49660
0.28480	0.55060
0.29530	0.76770
0.01080	0.30880
0.01080	0.30880
0.19240	0.75370
0.08810	0.91500
0.03660	0.42750
0.21810	0.99230
0.05690	0.51350
0.00560	0.37590
0.20370	1.40570
0.18120	0.62110
0.04960	0.47800
0.18070	0.62070
0.03370	0.46680
0.12840	0.64140
0.01110	0.49770
0.13720	0.47300
0.14280	0.67980
0.06070	0.42620
0.11660	0.58350
0.00400	0.54460
0.44970	1.01140
0.08570	1.65930
0.05100	0.42260
0.01610	0.60480
0.03450	1.04600
0.19600	0.62730
0.19240	0.60780
0.01990	0.37040
0.14990	0.82850
0.12540	0.55930
0.01150	0.36510
0.00720	1.14440
0.06990	0.52530
0.10680	0.46880
