Name	Description	GTEX-N7MS-0007-SM-2D7W1	GTEX-N7MS-0011-R8a-SM-2YUMK	GTEX-N7MS-0126-SM-3TW8O	GTEX-N7MS-0426-SM-2YUN6	GTEX-N7MS-0826-SM-2HML4	GTEX-N7MS-0926-SM-2HMIZ	GTEX-N7MS-1626-SM-3LK5F	GTEX-N7MS-2326-SM-2HMLD	GTEX-N7MS-2526-SM-2D7W3	GTEX-N7MT-0726-SM-3TW8S	GTEX-N7MT-1426-SM-3LK5M	GTEX-N7MT-1626-SM-3LK71	GTEX-NFK9-0326-SM-3MJGV	GTEX-NFK9-1526-SM-3LK7B	GTEX-NFK9-1726-SM-3TW8P	GTEX-NFK9-2226-SM-3MJGP	GTEX-NPJ7-2726-SM-2I3FT	GTEX-O5YT-0826-SM-3TW8N	GTEX-OHPL-0126-SM-2HMJ7
Gene	Protein	Whole Blood	Brain - Hypothalamus	Testis	Muscle - Skeletal	Heart - Left Ventricle	Lung	Kidney - Cortex	Thyroid	Brain - Cerebellum	Uterus	Artery - Aorta	Pancreas	Adipose - Subcutaneous	Stomach	Adrenal Gland	Prostate	Brain - Cortex	Liver	Skin - Sun Exposed (Lower leg)
ENSG00000227232.3	WASH7P	2.9175922870636	3.55703496932983	4.76864624023438	2.12075114250183	1.84393942356110	2.94016146659851	3.20134711265564	4.98475980758667	5.55143213272095	11.7457027435303	8.24036121368408	12.9799861907959	5.29230880737305	4.25230693817139	3.60139083862305	11.9274101257324	3.49169397354126	3.67890357971191	7.97706270217896
ENSG00000225972.1	MTND1P23	904.803344726562	5177.31689453125	17.6736812591553	6457.982421875	9316.7646484375	1596.5185546875	28.1067409515381	786.732299804688	3771.89331054688	4.3661150932312	3.27248215675354	10.9449787139893	1597.13122558594	2577.61376953125	3618.94750976562	6404.97802734375	16699.703125	9.60916805267334	7515.71923828125
ENSG00000225630.1	MTND2P28	1107.83239746094	14881.8232421875	253.851882934570	8045.12841796875	20420.90234375	3387.7724609375	920.60009765625	4671.576171875	5809.00634765625	336.715087890625	127.897010803223	567.5654296875	435.615631103516	677.317260742188	840.545288085938	1703.18640136719	21095.759765625	98.1570587158203	8785.1083984375
ENSG00000229344.1	RP5-857K21.7	1079.61975097656	16643.7421875	28.9691371917725	14742.1171875	25442.111328125	3999.8017578125	897.542541503906	3797.78442382812	5596.4267578125	27.3444118499756	24.5436191558838	89.8733291625977	25.9087982177734	77.0952911376953	43.0145835876465	213.434906005859	23841.974609375	12.2075233459473	8420.533203125
ENSG00000228794.2	RP11-206L10.11	1.03361320495605	2.76345467567444	6.43933725357056	11.4372520446777	9.36391639709473	4.26686382293701	2.04189491271973	3.90770053863525	13.457914352417	3.14477586746216	3.12485861778259	3.4064576625824	6.04327154159546	3.65906858444214	2.81941843032837	13.9728565216064	3.07392692565918	2.80809807777405	3.18244504928589
ENSG00000188976.6	NOC2L	6.76282548904419	7.09764099121094	23.5978679656982	11.7884283065796	8.60225582122803	8.96164608001709	6.41857767105103	12.0702075958252	20.224666595459	13.3836336135864	12.4437761306763	18.4374923706055	9.40231227874756	9.39743423461914	9.19363307952881	12.1727476119995	8.95417976379395	24.9092197418213	33.5663223266602
ENSG00000187961.7	KLHL17	2.07483792304993	1.32079470157623	12.2437200546265	1.39028286933899	2.82371020317078	5.22767210006714	1.43026947975159	3.31668210029602	9.3071870803833	4.84748268127441	5.30691576004028	12.6603078842163	3.41093277931213	4.68835020065308	4.2063045501709	7.24561262130737	2.85722756385803	8.27522277832031	7.06090831756592
ENSG00000187608.5	ISG15	18.0438919067383	15.0006284713745	4.12271308898926	4.28118848800659	20.9164638519287	19.8092517852783	20.200626373291	22.3335742950439	5.09225416183472	32.6969223022461	74.9651565551758	32.5817337036133	8.88386344909668	7.38761281967163	5.97516965866089	10.9590435028076	6.92289066314697	66.7720642089844	5.18701362609863
ENSG00000078808.11	SDF4	14.805513381958	14.4360790252686	47.1259803771973	14.9996557235718	28.8940734863281	30.0205707550049	13.6057758331299	35.2420539855957	67.0077819824219	33.9628143310547	54.5182876586914	37.9870910644531	27.7852039337158	33.3490447998047	32.8247146606445	24.1960639953613	17.4929351806641	45.2272415161133	32.4538993835449
ENSG00000160087.16	UBE2J2	3.21582818031311	4.62061929702759	54.5363388061523	5.78533267974854	7.55586528778076	10.1194219589233	7.70269012451172	10.1282129287720	12.9849281311035	11.9467458724976	9.43587398529053	12.3243036270142	8.39894962310791	10.1529493331909	11.7744922637939	11.4502153396606	7.8647255897522	15.3423814773560	16.2102413177490
ENSG00000162572.14	SCNN1D	1.03337574005127	4.44983768463135	31.8349685668945	1.28848922252655	1.88853061199188	1.53432166576385	1.68470668792725	3.86368846893311	19.7273406982422	11.4731168746948	2.51344108581543	9.06267261505127	1.88351178169250	2.99161744117737	4.38869142532349	5.49055194854736	6.61657667160034	3.14975333213806	1.49745070934296
ENSG00000131584.13	ACAP3	9.11134243011475	31.5912227630615	11.9096984863281	13.4655828475952	21.1335678100586	22.9239158630371	11.4008359909058	22.5162963867188	264.074127197266	44.1662979125977	15.1491470336914	34.7052574157715	12.9283933639526	19.8719730377197	24.6034832000732	27.5394554138184	52.012279510498	17.2877559661865	67.2073364257812
ENSG00000127054.12	CPSF3L	12.5093698501587	14.0015726089478	52.2446365356445	22.8509845733643	20.3290538787842	26.5556697845459	11.6175079345703	30.1832389831543	56.3044853210449	53.9520988464355	40.7043533325195	42.8623428344727	29.0696830749512	26.6885261535645	23.9083518981934	39.1326065063477	15.5081796646118	26.6402149200439	28.8526592254639
